dcid,sentence
BLSItem/SETA01,New vehicles
BLSItem/SERB01,Pets and pet products
BLSItem/SEFV,Food away from home
BLSItem/SEAC04,"Women's underwear, nightwear, swimwear and accessories"
BLSItem/SS09011,Fresh whole milk
BLSItem/SEGD01,Legal services
BLSItem/SERA01,Televisions
BLSItem/SEHP,Household operations
BLSItem/SEGC,Personal care services
BLSItem/SEAE01,Men's footwear
BLSItem/SAF115,Other food at home
BLSItem/SAG1,Personal care
BLSItem/SEHH,Window and floor coverings and other linens
BLSItem/SS0206B,"Frozen and refrigerated bakery products, pies, tarts, turnovers"
BLSItem/SS62055,Rental of video discs and other media
BLSItem/SEFR03,Other sweets
BLSItem/SS53031,Intracity mass transit
BLSItem/SA0E,Energy
BLSItem/SETC,Motor vehicle parts and equipment
BLSItem/SAF113,Fruits and vegetables
BLSItem/SEAC03,Women's suits and separates
BLSItem/SS62031,"Admission to movies, theaters, and concerts"
BLSItem/SAF116,Alcoholic beverages
BLSItem/SEFL04,Other fresh vegetables
BLSItem/SEME,Health insurance
BLSItem/SEFK,Fresh fruits
BLSItem/SEFN02,Frozen noncarbonated juices and drinks
BLSItem/SEGD02,Funeral expenses
BLSItem/SEMC03,Eyeglasses and eye care
BLSItem/SERAC,Video and audio products
BLSItem/SEAD,Girls' apparel
BLSItem/SEHE01,Fuel oil
BLSItem/SSEA011,College textbooks
BLSItem/SASLE,Services less energy services
BLSItem/SEAA03,Men's shirts and sweaters
BLSItem/SEFG01,Fresh fish and seafood
BLSItem/SEFP01,Coffee
BLSItem/SEFE,Other meats
BLSItem/SAG,Other goods and services
BLSItem/SEFT06,Other miscellaneous foods
BLSItem/SERB02,Pet services including veterinary
BLSItem/SERD01,Photographic equipment and supplies
BLSItem/SEFN01,Carbonated drinks
BLSItem/SEMG,Medical equipment and supplies
BLSItem/SEEB04,Technical and business school tuition and fees
BLSItem/SA0L1E,All items less food and energy
BLSItem/SEHF,Energy services
BLSItem/SEGC01,Haircuts and other personal care services
BLSItem/SEFH,Eggs
BLSItem/SEHG,Water and sewer and trash collection services
BLSItem/SEFV03,Food at employee sites and schools
BLSItem/SEHB,Lodging away from home
BLSItem/SEHE02,"Propane, kerosene, and firewood"
BLSItem/SEGB02,"Cosmetics, perfume, bath, nail preparations and implements"
BLSItem/SEFM02,Frozen fruits and vegetables
BLSItem/SS30021,Laundry equipment
BLSItem/AA0R,Purchasing power of the consumer dollar - old base
BLSItem/SEFV04,Food from vending machines and mobile vendors
BLSItem/SAM,Medical care
BLSItem/SAH3,Household furnishings and operations
BLSItem/SEMC02,Dental services
BLSItem/SERA05,Audio equipment
BLSItem/SAA2,Women's and girls' apparel
BLSItem/SS14011,Frozen vegetables
BLSItem/SAH21,Household energy
BLSItem/SS04011,Bacon and related products
BLSItem/SEGD04,Apparel services other than laundry and dry cleaning
BLSItem/SETG03,Intracity transportation
BLSItem/SEFF02,Other uncooked poultry including turkey
BLSItem/SANL113,"Nondurables less food, beverages, and apparel"
BLSItem/SEEEC,Information technology commodities
BLSItem/SEFM,Processed fruits and vegetables
BLSItem/SS1804B,Other condiments
BLSItem/SEFL02,Lettuce
BLSItem/SS05011,Frankfurters
BLSItem/SS18064,Prepared salads
BLSItem/SERC,Sporting goods
BLSItem/SS62054,Veterinarian services
BLSItem/SS31023,"Video game hardware, software and accessories"
BLSItem/SERA03,Other video equipment
BLSItem/SEHK02,Other appliances
BLSItem/SAA1,Men's and boys' apparel
BLSItem/SAF11,Food at home
BLSItem/SEEA,Educational books and supplies
BLSItem/SEFD04,"Other pork including roasts, steaks, and ribs"
BLSItem/SEFL03,Tomatoes
BLSItem/SEFL01,Potatoes
BLSItem/SEFM01,Canned fruits and vegetables
BLSItem/SERC01,Sports vehicles including bicycles
BLSItem/SEFG,Fish and seafood
BLSItem/SAE21,Information and information processing
BLSItem/SEHM01,"Tools, hardware and supplies"
BLSItem/SS20051,"Beer, ale, and other malt beverages away from home"
BLSItem/SEHC,Owners' equivalent rent of residences
BLSItem/SERF03,Fees for lessons or instructions
BLSItem/SETA04,Car and truck rental
BLSItem/SS45011,New cars
BLSItem/SEEE02,Computer software and accessories
BLSItem/SS10011,Butter
BLSItem/SEMC,Professional services
BLSItem/SS53021,Intercity bus fare
BLSItem/SEAG,Jewelry and watches
BLSItem/SAGS,Other personal services
BLSItem/SEFR01,Sugar and sugar substitutes
BLSItem/SEEE03,Internet services and electronic information providers
BLSItem/SAD,Durables
BLSItem/SERF01,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees"
BLSItem/SS18042,"Olives, pickles, relishes"
BLSItem/SEMD02,Nursing homes and adult day services
BLSItem/SEAE,Footwear
BLSItem/SS33032,"Stationery, stationery supplies, gift wrap"
BLSItem/SETF,Motor vehicle fees
BLSItem/SEEB02,Elementary and high school tuition and fees
BLSItem/SERF02,Admissions
BLSItem/SEHJ02,"Living room, kitchen, and dining room furniture"
BLSItem/SEFM03,Other processed fruits and vegetables including dried
BLSItem/SEFK01,Apples
BLSItem/SEFF01,Chicken
BLSItem/SS45021,New trucks
BLSItem/SAN1D,Domestically produced farm food
BLSItem/SETF03,Parking and other fees
BLSItem/SEHP03,"Moving, storage, freight expense"
BLSItem/SERAS,Video and audio services
BLSItem/SAS4,Transportation services
BLSItem/SETD02,Motor vehicle maintenance and servicing
BLSItem/SEHH03,Other linens
BLSItem/SACL1E4,"Commodities less food, energy, and used cars and trucks"
BLSItem/SEFA,Cereals and cereal products
BLSItem/SA0R,Purchasing power of the consumer dollar
BLSItem/SEFL,Fresh vegetables
BLSItem/SEHF02,Utility (piped) gas service
BLSItem/SERG,Recreational reading materials
BLSItem/SAT,Transportation
BLSItem/SS62052,Photo Processing
BLSItem/SEED04,Land-line telephone services
BLSItem/SAS24,Utilities and public transportation
BLSItem/SEFT02,Frozen and freeze dried prepared foods
BLSItem/SAR,Recreation
BLSItem/SS53022,Intercity train fare
BLSItem/SEFW02,Distilled spirits at home
BLSItem/SEHP01,Domestic services
BLSItem/SAE,Education and communication
BLSItem/SERA,Video and audio
BLSItem/SEFD03,Pork chops
BLSItem/SEHK,Appliances
BLSItem/SEAA01,"Men's suits, sport coats, and outerwear"
BLSItem/SARC,Recreation commodities
BLSItem/SS47021,"Motor oil, coolant, and fluids"
BLSItem/SEFR02,Candy and chewing gum
BLSItem/SEEB01,College tuition and fees
BLSItem/SERB,"Pets, pet products and services"
BLSItem/SETE,Motor vehicle insurance
BLSItem/SAF1131,Fresh fruits and vegetables
BLSItem/SEFA03,"Rice, pasta, cornmeal"
BLSItem/SEFP,Beverage materials including coffee and tea
BLSItem/SEEB03,Day care and preschool
BLSItem/SAF11211,Meats
BLSItem/SS16014,Peanut butter
BLSItem/SETD,Motor vehicle maintenance and repair
BLSItem/SAEC,Education and communication commodities
BLSItem/SEMF01,Prescription drugs
BLSItem/SEHP04,Repair of household items
BLSItem/SACE,Energy commodities
BLSItem/SEMD,Hospital and related services
BLSItem/SETG02,Other intercity transportation
BLSItem/SS5703,Outpatient hospital services
BLSItem/SEHB02,Other lodging away from home including hotels and motels
BLSItem/SAF,Food and beverages
BLSItem/SEMD01,Hospital services
BLSItem/SEFJ,Dairy and related products
BLSItem/SEFA02,Breakfast cereal
BLSItem/SEFW,Alcoholic beverages at home
BLSItem/SEFS02,Salad dressing
BLSItem/SS5702,Inpatient hospital services
BLSItem/SS27061,Land-line intrastate toll calls
BLSItem/SEHL02,Indoor plants and flowers
BLSItem/SEAA,Men's apparel
BLSItem/SEFG02,Processed fish and seafood
BLSItem/SEAC02,Women's dresses
BLSItem/SS16011,Margarine
BLSItem/SS13031,Canned fruits
BLSItem/SEFS01,Butter and margarine
BLSItem/SEHK01,Major appliances
BLSItem/SS47015,"Gasoline, unleaded midgrade"
BLSItem/SS48021,Vehicle parts and equipment other than tires
BLSItem/SAS2RS,Rent of shelter
BLSItem/SEEE,"Information technology, hardware and services"
BLSItem/SS52051,Parking fees and tolls
BLSItem/SS53023,Ship fare
BLSItem/SAN,Nondurables
BLSItem/SS05015,Lamb and mutton
BLSItem/SARS,Recreation services
BLSItem/SEFJ02,Cheese and related products
BLSItem/SEFJ04,Other dairy and related products
BLSItem/SA0L1,All items less food
BLSItem/SEFK02,Bananas
BLSItem/SAS367,Other services
BLSItem/SEEC01,Postage
BLSItem/SAE1,Education
BLSItem/SAS,Services
BLSItem/SS02041,Fresh cakes and cupcakes
BLSItem/SEHH01,Floor coverings
BLSItem/SS31022,Video discs and other media
BLSItem/SEAA02,"Men's underwear, nightwear, swimwear and accessories"
BLSItem/SEHJ,Furniture and bedding
BLSItem/SAF1121,"Meats, poultry, and fish"
BLSItem/SS68023,Tax return preparation and other accounting fees
BLSItem/SS0501A,Lunchmeats
BLSItem/SEGD,Miscellaneous personal services
BLSItem/SS02011,White bread
BLSItem/SS47016,"Gasoline, unleaded premium"
BLSItem/SETB01,Gasoline (all types)
BLSItem/SAGC,Other goods
BLSItem/SEHJ03,Other furniture
BLSItem/SEFC02,Uncooked beef roasts
BLSItem/SA0L12E,"All items less food, shelter, and energy"
BLSItem/SEFN03,Nonfrozen noncarbonated juices and drinks
BLSItem/SS68021,Checking account and other bank services
BLSItem/SEFT01,Soups
BLSItem/SEFJ01,Milk
BLSItem/SEFD01,"Bacon, breakfast sausage, and related products"
BLSItem/SAA,Apparel
BLSItem/SANL11,Nondurables less food and beverages
BLSItem/SEGA,Tobacco and smoking products
BLSItem/SS61021,Film and photographic supplies
BLSItem/SEEE01,"Computers, peripherals, and smart home assistants"
BLSItem/SS06021,Fresh and frozen chicken parts
BLSItem/SEGE,Miscellaneous personal goods
BLSItem/SEEE04,"Telephone hardware, calculators, and other consumer information items"
BLSItem/SERG02,Recreational books
BLSItem/SEMF02,Nonprescription drugs
BLSItem/SERA02,Cable and satellite television service
BLSItem/SS20053,Distilled spirits away from home
BLSItem/SA0L5,All items less medical care
BLSItem/SEEB,"Tuition, other school fees, and childcare"
BLSItem/SEAA04,Men's pants and shorts
BLSItem/SEED03,Wireless telephone services
BLSItem/SS06011,Fresh whole chicken
BLSItem/SS14022,"Dried beans, peas, and lentils"
BLSItem/SS04031,"Ham, excluding canned"
BLSItem/SEHN02,Household paper products
BLSItem/SEAF,Infants' and toddlers' apparel
BLSItem/SEHN03,Miscellaneous household products
BLSItem/SEAG02,Jewelry
BLSItem/SSGE013,Infants' equipment
BLSItem/SAF111,Cereals and bakery products
BLSItem/SETD01,Motor vehicle body work
BLSItem/SS62011,Automobile service clubs
BLSItem/SEFF,Poultry
BLSItem/SEGB,Personal care products
BLSItem/SAF1,Food
BLSItem/SEMC01,Physicians' services
BLSItem/SAF114,Nonalcoholic beverages and beverage materials
BLSItem/SEFC03,Uncooked beef steaks
BLSItem/SS05014,Lamb and organ meats
BLSItem/SEHN,Housekeeping supplies
BLSItem/SANL13,Nondurables less food and apparel
BLSItem/SS17031,Roasted coffee
BLSItem/SERA04,"Video discs and other media, including rental of video"
BLSItem/SEFK04,Other fresh fruits
BLSItem/AA0,All items - old base
BLSItem/SA0L2,All items less shelter
BLSItem/SS27051,Land-line interstate toll calls
BLSItem/SEHE,Fuel oil and other fuels
BLSItem/SEED,Telephone services
BLSItem/SERE03,Music instruments and accessories
BLSItem/SASL5,Services less medical care services
BLSItem/SS07021,Frozen fish and seafood
BLSItem/SEFW03,Wine at home
BLSItem/SEHN01,Household cleaning products
BLSItem/SEMF,Medicinal drugs
BLSItem/SEHM,"Tools, hardware, outdoor equipment and supplies"
BLSItem/SETG,Public transportation
BLSItem/SEAC,Women's apparel
BLSItem/SEFS,Fats and oils
BLSItem/SAH,Housing
BLSItem/SEHJ01,Bedroom furniture
BLSItem/SETC01,Tires
BLSItem/SEHD,Tenants' and household insurance
BLSItem/SEFB,Bakery products
BLSItem/SEFD02,Ham
BLSItem/SS01031,Rice
BLSItem/SEFV02,Limited service meals and snacks
BLSItem/SERE,Other recreational goods
BLSItem/SEHG01,Water and sewerage maintenance
BLSItem/SS17032,Instant coffee
BLSItem/SEHH02,Window coverings
BLSItem/SA0,All items
BLSItem/SERA06,Recorded music and music subscriptions
BLSItem/SETD03,Motor vehicle repair
BLSItem/SEFJ03,Ice cream and related products
BLSItem/SEFR,Sugar and sweets
BLSItem/SEFS03,Other fats and oils including peanut butter
BLSItem/SS07011,Shelf stable fish and seafood
BLSItem/SS62032,Admission to sporting events
BLSItem/SS11031,"Oranges, including tangerines"
BLSItem/SETA03,Leased cars and trucks
BLSItem/SS45031,New motorcycles
BLSItem/SS61023,Photographic equipment
BLSItem/SEEC02,Delivery services
BLSItem/SATCLTB,Transportation commodities less motor fuel
BLSItem/SEHL04,Nonelectric cookware and tableware
BLSItem/SEHL,Other household equipment and furnishings
BLSItem/SAH2,Fuels and utilities
BLSItem/SEMD03,Care of invalids and elderly at home
BLSItem/SETC02,Vehicle accessories other than tires
BLSItem/SEFT03,Snacks
BLSItem/SEFV01,Full service meals and snacks
BLSItem/SEFN,Juices and nonalcoholic drinks
BLSItem/SAH31,Household furnishings and supplies
BLSItem/SERE01,Toys
BLSItem/SS20021,Whiskey at home
BLSItem/SS62051,Photographer fees
BLSItem/SEFA01,Flour and prepared flour mixes
BLSItem/SS14021,Canned vegetables
BLSItem/SS0206A,"Crackers, bread, and cracker products"
BLSItem/SEGD05,Financial services
BLSItem/SS02042,Cookies
BLSItem/SEFD,Pork
BLSItem/SEMC04,Services by other medical professionals
BLSItem/SEFT04,"Spices, seasonings, condiments, sauces"
BLSItem/SEGB01,"Hair, dental, shaving, and miscellaneous personal care products"
BLSItem/SERE02,"Sewing machines, fabric and supplies"
BLSItem/SAE2,Communication
BLSItem/SS61011,"Toys, games, hobbies and playground equipment"
BLSItem/SS09021,Fresh milk other than whole
BLSItem/SEFX,Alcoholic beverages away from home
BLSItem/SEFB04,Other bakery products
BLSItem/SA311,Apparel less footwear
BLSItem/SS61031,Pet food
BLSItem/SAH1,Shelter
BLSItem/SS4501A,New cars and trucks
BLSItem/SEHL03,Dishes and flatware
BLSItem/SACL1,Commodities less food
BLSItem/SEFB02,"Fresh biscuits, rolls, muffins"
BLSItem/SA0L12E4,"All items less food, shelter, energy, and used cars and trucks"
BLSItem/SEFC04,Uncooked other beef and veal
BLSItem/SEGA02,Tobacco products other than cigarettes
BLSItem/SETB02,Other motor fuels
BLSItem/SSHJ031,Infants' furniture
BLSItem/SETA,New and used motor vehicles
BLSItem/SEHA,Rent of primary residence
BLSItem/SEFT,Other foods
BLSItem/SS02063,"Fresh sweetrolls, coffeecakes, doughnuts"
BLSItem/SEHB01,"Housing at school, excluding board"
BLSItem/SEAG01,Watches
BLSItem/SEFW01,"Beer, ale, and other malt beverages at home"
BLSItem/SEAE02,Boys' and girls' footwear
BLSItem/SS18043,Sauces and gravies
BLSItem/SS20022,"Distilled spirits, excluding whiskey, at home"
BLSItem/SEFB01,Bread
BLSItem/SERD,Photography
BLSItem/SEGD03,Laundry and dry cleaning services
BLSItem/SERG01,Newspapers and magazines
BLSItem/SEFB03,"Cakes, cupcakes, and cookies"
BLSItem/SACL11,Commodities less food and beverages
BLSItem/SEHG02,Garbage and trash collection
BLSItem/SA0LE,All items less energy
BLSItem/SEFC01,Uncooked ground beef
BLSItem/SEFV05,Other food away from home
BLSItem/SEHL01,"Clocks, lamps, and decorator items"
BLSItem/SAES,Education and communication services
BLSItem/SACL1E,Commodities less food and energy commodities
BLSItem/SS18041,Salt and other seasonings and spices
BLSItem/SAF112,"Meats, poultry, fish, and eggs"
BLSItem/SEHP02,Gardening and lawncare services
BLSItem/SERF,Other recreation services
BLSItem/SETF01,State motor vehicle registration and license fees
BLSItem/SEGA01,Cigarettes
BLSItem/SETB,Motor fuel
BLSItem/SERD02,Photographers and photo processing
BLSItem/SETG01,Airline fares
BLSItem/SEHM02,Outdoor equipment and supplies
BLSItem/SS61032,"Purchase of pets, pet supplies, accessories"
BLSItem/SEFT05,Baby food
BLSItem/SS47014,"Gasoline, unleaded regular"
BLSItem/SSFV031A,Food at elementary and secondary schools
BLSItem/SEAC01,Women's outerwear
BLSItem/SERC02,Sports equipment
BLSItem/SAC,Commodities
BLSItem/SA0L12,All items less food and shelter
BLSItem/SEFK03,Citrus fruits
BLSItem/SAT1,Private transportation
BLSItem/SAM1,Medical care commodities
UnemploymentRateProperty,unemployment Rate; The unemployment rate is a measure of the prevalence of unemployment. It is calculated as a percentage by dividing the number of unemployed individuals by all individuals currently in the labor force.
wagesTotalProperty,"wages Total; Wages include bonuses, stock options, severance pay, profit distributions, cash value of meals and lodging, tips and other gratuities"
wagesDaily,wages Daily
wagesWeekly,"wages Weekly; Wages include bonuses, stock options, severance pay, profit distributions, cash value of meals and lodging, tips and other gratuities"
wagesMonthly,"wages Monthly; Wages include bonuses, stock options, severance pay, profit distributions, cash value of meals and lodging, tips and other gratuities"
wagesAnnual,"wages Annual; Wages include bonuses, stock options, severance pay, profit distributions, cash value of meals and lodging, tips and other gratuities"
BLS_InLaborForceEnum,"BLS_In Labor Force; Labor force includes employed and unemployed people. They must be working, receiving unemployment benefits or actively seeking employment."
BLS_NotInLaborForceEnum,"BLS_Not In Labor Force; Persons who are neither employed nor unemployed are not in the labor force. This category includes retired persons, students, those taking care of children or other family members, and others who are neither working nor seeking work"
NotInLaborForce,Not In Labor Force; Persons who are neither employed not looking for work are not in the labor force.
InLaborForce,In Labor Force; People who are fulfilling the requirement for inclusion in the employed or unemployed.
EmploymentStatusEnum,Employment Status Enum
EmploymentEnum,Employment Enum
BLS_Employed,BLS_Employed
BLS_EmployedFullTime,BLS_Employed Full Time; Full time employment is considered to be 35+ hours/week.
BLS_EmployedPartTime,BLS_Employed Part Time; Part time employment is considered to be 1-34 hours/week.
Adjusted,Adjusted; Indicates the adjustment of time series data on an annual basis.
Unadjusted,Unadjusted; Indicates raw time series data without adjustments.
SAMHSA_EmployedOther,"SAMHSA_Employed Other; The Other Employment category includes students, persons keeping house or caring for children full time, retired or disabled persons, or other persons not in the labor force."
BLS_Unemployed,BLS_Unemployed
USC_EmployedAndWorking,USC_Employed And Working
Employed,Employed
Unemployed,"Unemployed; The condition of one who is capable of working, actively seeking work, but unable to find any work."
USC_Unemployed,USC_Unemployed
BLSEstablishmentPopulation,BLSEstablishment; An establishment is a single physical location where one predominant activity occurs. A firm is an establishment or a combination of establishments is defined by its unique Employer Identification number (EIN)
BLSWorkerPopulation,BLSWorker; BLS Worker
SOCv2018Enum,"SOCv2018 Enum; The 2018 Standard Occupational Classification (SOC) system is used by federal statistical agencies to classify workers and jobs into occupational categories for the purpose of collecting, calculating, analyzing, or disseminating data."
NAICSIndustryCodeEnumType,NAICSEnum; North American Industry Classification System (NAICS) used to classify industries by US Bureau of labor statistics and other sources
naics,naics
EstablishmentOwnershipEnumType,Establishment Ownership Enum; BLS Establishment ownership code
establishmentOwnership,establishment Ownership
EstablishmentOwnership0,Total Covered
EstablishmentOwnership1,Federal Government
EstablishmentOwnership2,State Government
EstablishmentOwnership3,Local Government
EstablishmentOwnership4,International Government
EstablishmentOwnership5,Private
PrivatelyOwnedForProfit,Privately Owned and For-Profit establishment
PrivatelyOwnedNotForProfit,Privately Owned and Not-For-Profit establishment
EstablishmentOwnership8,Total Government
SeasonalAdjustmentEnum,"Seasonal Adjustment Enum; An enumeration of Seasonal Adjustments such as adjusted, unadjusted, etc."
BLSSeasonallyAdjustedEnum,BLSSeasonally Adjusted; Indicates the adjustment of time series data to eliminate the effect of intrayear variations which tend to occur during the same period on an annual basis
BLSSeasonallyUnadjustedEnum,BLSSeasonally Unadjusted; Indicates raw time series data without adjustments to eliminate the effect of intrayear variations.
jobChangeEvent,job Change Event
JobChangeEventEnum,Job Change Event Enum; Describes different job change events that may happen to workers.
Hire,Hire; Describes a worker being hired to a company.
Separation,Separation; An event where an employee is separated from the payroll.
VoluntarySeparation,"Voluntary Separation; Represents employees who left voluntarily. Exceptions are retirements or transfers to other locations, which are considered as 'Other' separations."
InvoluntarySeparation,Involuntary Separation; Involuntary separations initiated by the employer.
OtherSeparation,"Other Separation; Represents job separations due to retirements, transfers to other locations, deaths, or separations due to employee disability."
consumerPriceIndex,A Consumer Price Index measures changes in the price level of a weighted average market basket of consumer goods and services purchased by households.
Consumer,"Consumer; A consumer is a person who intends to order or use purchased goods, products, or services primarily for personal, social, family, household and similar needs, not directly related to entrepreneurial or business activities."
UrbanConsumer,"Urban Consumer; The all-urban consumer population consists of all urban households in metropolitan statistical areas (MSAs) and in urban places of 2,500 inhabitants or more."
UrbanWageEarnerAndClericalWorker,"Urban Wage Earner And Clerical Worker; The urban wage earner and clerical worker population consists of consumer units consisting of clerical workers, sales workers, craft workers, operative, service workers, or laborers."
NonGovernmentalOrganization,Non Governmental Organization(NGO)
LaborUnderutilized,Labor Underutilized
TimeRelatedUnderemployed,Time Related Underemployed
PotentialLaborForce,Potential Labor Force
InLaborForceEmployed,In Labor Force and Employed
InLaborForceUnemployed,In Labor Force and Unemployed
LaborUnderutilizedPotentialLaborForce,Labor Underutilized and Potential Labor Force
LaborUnderutilizedTimeRelatedUnderemployed,Labor Underutilized and Time Related Underemployed
LaborUnderutilizedUnemployed,Labor Underutilized and Unemployed
brazilAidDistributionPartner,brazil Aid Distribution Partner; Food Distribution Act-Food baskets delivered by partners.
foodBasketStatus,food Basket Status; The status of the food basket being given to the family.
benefitType,benefit Type
affectedBy,affected By; The condition by which the families are affected in a program.
BrazilAidDistributionPartnerEnum,Brazil Aid Distribution Partner Enum
FamilyTypeEnum,Family Type Enum
FoodBasketStatusEnum,Food Basket Status Enum
BenefitProgramEnum,Benefit Program Enum
BenefitTypeEnum,Benefit Type Enum
Brazil_RuralDevelopmentProgram,Brazil Rural Development Program; The program helps poorest rural families can develop their production projects
Brazil_NationalLandCreditProgram,Brazil National Land Credit Program
AffectedByEnum,Affected By Enum
ReceivedFoodBasket,Received Food Basket; Families who have received the food baskets.
DestinedFoodBasket,Destined Food Basket; Families to which the food basket is destined.
DeliveredFoodBasket,Delivered Food Basket; Families to which the food basket has been delivered.
GypsyFamily,"Gypsy Family; Brazilian Romani are mostly descendant from German/Italian Sinti (in the South/Southeast regions), and Roma and Calon people."
InEmergencyCare,In Emergency Care; Citizens in need of urgent care and patients referred to emergency care by the assistant team
ExtractiveFamily,"Extractive Family; Extractivists are traditional communities, they base their subsistence on the extraction of resource renewable natural resources and, in addition, in agriculture subsistence and small animal husbandry."
FishingFamily,"Fishing Family; Those who use fishing resources extracted, collected, seized or captured in fresh or salt water for commercial or commercial purposes."
IndigenousFamily,"Indigenous Family; The indigenous people were traditionally mostly semi-nomadic tribes who subsisted on hunting, fishing, gathering, and migrant agriculture."
QuilombolaFamily,Quilombola Family; Quilombo is the denomination for communities of black slaves who resisted the slavery regime that prevailed in Brazil.
RecyclableMaterialCollectorsFamily,"Recyclable Material Collectors Family; The recyclable material collector is an urban worker who collects recyclable solid waste , such as cardboard , aluminum , glass and others."
SettledInCamps,Settled In Camps
FarmingFamily,Farming Family
AgrarianReformFamily,Agrarian Reform Family
RiversideFamily,Riverside Family
CampFamily,Camp Family
PrisonersInPrisonSystem,Prisoners In Prison System
TerreiroCommunity,Terreiro Community
FinancialBenefit,Financial Benefit
NationalConfederationOfAgricultureSENAR,National Confederation Of Agriculture SENAR
OrganizationOfCooperativesOfBrazil,Organization Of Cooperatives Of Brazil
NationalAssociationOfGarlicOrOnionProducers,National Association Of Garlic Or Onion Producers
NationalConfederationOfCommerceSESC,National Confederation Of Commerce SESC
NationalConfederationOfIndustrySESI,National Confederation Of Industry SESI
BancoDoBrasilFoundation,Banco Do Brasil Foundation
CortevaAgriscience,Corteva Agriscience
NutrelliAlimentosECongelattos,Nutrelli Alimentos ECongelattos
SaoPauloWarehouseAndWarehouseCompanyCEAGESP,Sao Paulo Warehouse And Warehouse Company CEAGESP
DivineCaldoBrazil,Divine Caldo Brazil
InfrastructureProject,Infrastructure Project
healthOutcome,health Outcome; This property describes a health outcome such as diabetes.
healthPrevention,health Prevention; This property describes preventive health measures such as going or not going to a dentist.
diseaseControlMeasure,disease Control Measure
healthBehavior,health Behavior; This property describes health-relevant behaviours exhibited by a person such as exercising regularly.
HealthCategoryEnum,"Health Category Enum; Categories of health-related measures: Health Outcomes, Prevention, Behaviors."
